PC1,PC2,Predicted_State,Actual_State
-0.3532004680373449,-1.2196262118365286,0,0
0.0424362693601654,0.5260570283234354,2,2
-0.3685750654014122,0.167722386706334,1,2
-0.6218682165421359,0.4143819842080539,1,2
-0.2627618342448091,-0.1861383411875674,1,1
-0.0869195703064749,0.409610410768064,2,2
-0.2231652915998783,0.4762892012409571,2,2
0.0566378751677344,0.6349950173777595,2,2
-0.3889743034615608,-1.9548233616111164,0,0
-0.5071895073928896,-1.171071148843964,0,0
-0.3239891694826898,-0.2547879083381912,1,1
-0.0384397258581884,-0.3065199900588005,1,1
-0.131406742221556,-1.191658787104188,0,0
-0.6270083474116239,0.0339838266009434,1,2
-0.4585175597090258,0.2604179494726422,1,2
-0.0590111382068145,-0.2608750773476109,1,1
-0.1157686641961945,0.361604491408672,1,2
-0.373468723277067,-0.906010948448914,0,1
-0.3492932570660437,-1.0806399450993909,0,0
-0.417291751830649,-0.2355149406057266,1,1
-0.2707941993975658,-0.483809061096284,1,1
-0.1104980049473662,-2.0078146158198664,0,0
-0.3708027763187618,-0.1943192417078134,1,1
-0.1938825810215598,-2.166788740709113,0,0
-0.2331613377760895,-2.3556087593049773,0,0
-0.2736857981366988,0.2803132593234519,1,2
-0.3597086601203538,-0.4652813692361339,1,1
-0.2785746839118588,-0.8374475051240138,0,1
-0.3699859253207964,-1.220379875242877,0,0
-0.2853736399152848,0.3201820331065541,1,2
-0.1597244512250022,0.5960074592921359,2,2
-0.1808679772404398,-1.274667922925494,0,0
-0.167804118581237,-1.4037050480324234,0,0
-0.0811917210035986,-0.1252816765429255,1,1
-0.227861649689163,0.5984998383761532,2,2
-0.3142945613619283,-0.4016513041982595,1,1
-0.1946764736307851,-0.8476853358065348,0,1
-0.4236980151334065,0.4405580771112132,1,2
-0.499599253690938,0.1958039839689573,1,2
-0.0569661058135635,-0.6773590448391339,0,1
0.1027219470982045,0.1255662157522638,1,2
-0.1970536221073273,-1.2809962984118308,0,0
-0.0500881286076302,-1.6850620311267284,0,0
-0.2685546514423502,-0.6561729080772302,1,1
-0.2280473628766278,-1.4657178368663897,0,0
-0.3607711721045027,-1.4094606128456957,0,0
-0.2113813839442681,0.3032084669363973,1,2
-0.3570055075473916,-0.7912506508441635,1,1
-0.3904667138777966,-0.952012660233254,0,0
0.1031357229916552,0.5077970338593599,2,2
-0.1829943199218278,-1.9317056597409836,0,0
-0.194969442666757,0.2298354847453299,1,2
-0.0335692686915753,-1.8971379667158408,0,0
-0.2516346796635995,-0.4359581267237903,1,1
-0.0541601762660153,-0.6770547200865294,0,1
-0.1018051987413483,-0.0253555347457131,1,2
-0.4226998104969481,-0.835158561757903,0,1
-0.2663454225343532,-0.8257184813842692,0,1
-0.3084048717689877,-0.7882329148468282,0,1
-0.4134152915788655,-0.6015082874518394,1,1
9.939217522979847,0.285402144809293,1,2
10.155862367644106,-0.0183252114710483,1,2
9.528523606186637,0.6361288017966232,1,2
9.823024567151144,0.0619142640935226,1,2
9.5996293800262,-0.2002298499527132,1,2
9.652657200627248,-0.5996740769257163,1,2
9.846187223167998,-0.2477171486916385,1,2
9.69358484223956,-0.6951599734733085,1,2
9.687534504541,0.3067224060218025,1,2
9.534030161415922,-1.3901534279188104,1,0
9.804107984556698,-0.4427838690389833,1,2
9.640236254340625,0.1437417114272264,1,2
9.664471562875852,0.3827135716449226,1,2
9.912397322028252,0.4377540901209771,1,2
9.843187323130907,-1.5971325301626942,1,0
9.457616588291083,-0.1293792746133601,1,2
9.831015652382357,-2.817739419536881,1,0
-0.4850903474881423,-0.4547284874759746,1,1
0.085169176259767,-2.068038136893499,0,0
-0.2783665560463748,-0.4407890927991739,1,1
-0.2608570951428343,-0.0731147053240021,1,2
-0.474516573684113,-1.5163006271243862,0,0
-0.4664007479983785,-1.4080732103580944,0,0
-0.1905209044647332,0.3945199602038304,1,2
-0.0108211587786123,-0.8524743510847503,0,1
-0.4003426733720944,0.1340054945303632,1,2
-0.1815343224252444,-0.2366297076319493,1,1
-0.4486413400257162,-0.6844305820776713,1,1
-0.2937258825402419,0.1676299354562544,1,2
-0.1950711212938163,-0.1183889696591098,1,1
-0.111345484538376,0.3113318999466836,1,2
-0.5003198481499005,-0.1918127443845173,1,1
-0.1562780376401513,-0.5079888251394853,1,1
0.0290311062856255,-0.3548474653043736,1,1
-0.3142936641573338,-0.0524941362956042,1,2
-0.078881144057839,-1.2456450532595609,0,0
-0.1856555396511863,-0.8311033111781331,0,1
-0.2827507949496358,-0.2307564997482652,1,1
-0.3324818825168958,-0.8713175758729186,0,1
-0.1854362858480571,-1.043271147051636,0,0
-0.2408110751029195,-0.2187957018523737,1,1
-0.4646065541292352,-0.1412794215983201,1,1
-0.1350917652111104,-1.072545398296159,0,0
-0.2006397369123311,-0.6392687015959205,1,1
-0.2197065115128045,0.2397185758858652,1,2
0.1596025188955706,0.0713696751976725,1,2
-0.0704875282548837,0.2735889727530418,1,2
-0.2595559841994326,0.2603600874609917,1,2
-0.0771639747054706,0.2017719767731866,1,2
-0.2917638656809107,0.2992681310098191,1,2
-0.6026762131740956,0.1754119493146494,1,2
-0.3412730351768765,0.4385782909429329,1,2
-0.2048938709091665,-0.7041800204580533,1,1
-0.1733118038462316,0.0768229764972011,1,2
0.1021660262899579,-1.1431487723862457,0,0
-0.6375377848384679,0.2881648122143896,1,2
-0.0446086325776823,0.6351002167762324,2,2
-0.0231279683778859,-1.2022897094276823,0,0
-0.4125931624515273,0.0233399708942027,1,2
0.1146202078974123,-0.0974098393226667,1,2
-0.2701918668393793,0.1669914165777385,1,2
0.256222936209323,-0.8237655631376212,0,1
-0.1092803599561193,-0.1914464988396538,1,1
-0.2005614125451032,-1.3186431340279718,0,0
-0.3581886601942967,-0.5399046728181306,1,1
-0.3436022079359709,-0.3081209394881035,1,1
-0.3453613354967841,-0.2698249514271612,1,1
-0.1448737251202818,-1.5965063872100616,0,0
-0.2859077274505154,-1.0454325990213555,0,0
-0.3835163080970817,-0.7004649227924503,1,1
-0.2023871363126349,0.2805550342381776,1,2
-0.1601074988186354,0.4233230544406204,2,2
-0.1876193322867677,-0.3737908360662709,1,1
-0.3275499748773346,-1.4061754163830549,0,0
-0.0437586847541573,0.6308758602535186,2,2
0.1128130998194257,0.1941471449931882,1,2
-0.3636592264507838,-0.5599029715535134,1,1
-0.5743470815922255,-0.3410891387073231,1,1
-0.433030690009494,-1.0946980173804244,0,0
0.1303616430422497,-0.044305789756336,1,2
-0.0500077159708785,0.2937675131590867,1,2
-0.1789304192800057,-0.6856064953322591,1,1
-0.3895616462792751,0.3922862531082901,1,2
0.2353273544253937,0.6681396292492361,2,2
-0.1851624456248606,-1.6939165020512317,0,0
-0.2273187998399779,-0.8269462673713529,0,1
-0.0659460210699109,0.4007963168769742,2,2
-0.0948126557570549,-0.1344024387834974,1,1
-0.2796952023932379,-0.9623110643164524,0,0
0.1148086064437872,-1.951648068120181,0,0
0.1162158389137051,0.5689306802700345,2,2
0.0482270716840981,0.0427623734983912,1,2
-0.3477421651389742,-1.354440818973346,0,0
-0.2650378971441039,-0.1939599301526991,1,1
