PC1,PC2,Cluster,State
0.05169400202644161,0.6722761706488595,"(np.int64(1), np.int64(0))",Dangerous
0.04380611368982808,0.8600424910181849,"(np.int64(1), np.int64(0))",Dangerous
0.03411974710242902,0.4451226688658639,"(np.int64(0), np.int64(0))",Normal
0.04447400954241261,0.5898552399983462,"(np.int64(1), np.int64(1))",Dangerous
0.024042474131565177,0.3711567383278266,"(np.int64(0), np.int64(1))",Warning
0.03533249184311078,0.9937848758317533,"(np.int64(1), np.int64(0))",Dangerous
0.030263506602539486,0.509179139282818,"(np.int64(0), np.int64(0))",Normal
0.037899849330089025,0.7006498552980196,"(np.int64(1), np.int64(0))",Dangerous
0.03387166565530842,0.3559557582164099,"(np.int64(0), np.int64(1))",Warning
0.060751972543196496,0.7248174259101064,"(np.int64(1), np.int64(0))",Dangerous
0.0675924199836746,0.3497929066975646,"(np.int64(0), np.int64(1))",Warning
0.051312608046951216,0.750029346984107,"(np.int64(1), np.int64(0))",Dangerous
0.046523326328504366,0.6870434714154037,"(np.int64(1), np.int64(0))",Dangerous
0.045386916038774656,0.1356815053659884,"(np.int64(0), np.int64(1))",Warning
0.012759898332303635,0.45711439624863187,"(np.int64(0), np.int64(0))",Normal
0.04265046352833404,0.5082613627230265,"(np.int64(0), np.int64(0))",Normal
0.04438678402624468,0.4311936723035378,"(np.int64(0), np.int64(0))",Normal
0.07584902507923576,0.37258460890231565,"(np.int64(0), np.int64(1))",Warning
0.045024536989904204,0.5910700722041239,"(np.int64(1), np.int64(1))",Dangerous
0.045073231520184054,0.5510599729360827,"(np.int64(1), np.int64(1))",Dangerous
0.039487783230295254,0.26675787465642853,"(np.int64(0), np.int64(1))",Warning
0.02111157422691695,0.48717653367429037,"(np.int64(0), np.int64(0))",Normal
0.04561979727178714,0.6591014357859581,"(np.int64(1), np.int64(0))",Dangerous
0.05205614521773941,0.6290984589929217,"(np.int64(1), np.int64(1))",Dangerous
0.069099605330075,0.38350342235482604,"(np.int64(0), np.int64(1))",Warning
0.03381023233506717,0.35994982648065116,"(np.int64(0), np.int64(1))",Warning
0.06418250464925739,0.5462742554627694,"(np.int64(1), np.int64(1))",Dangerous
0.02285195286360473,0.6564653575274326,"(np.int64(1), np.int64(1))",Dangerous
0.051263485868977776,0.36140680755916543,"(np.int64(0), np.int64(1))",Warning
0.08139254355299605,0.7792971446241935,"(np.int64(1), np.int64(0))",Dangerous
0.023054588203265683,0.3167712986148068,"(np.int64(0), np.int64(1))",Warning
0.04198796895033376,0.7990316118364218,"(np.int64(1), np.int64(0))",Dangerous
0.049771085652703446,0.5803711773282326,"(np.int64(1), np.int64(1))",Dangerous
0.04047732554501212,0.481085603788913,"(np.int64(0), np.int64(0))",Normal
0.02275169369821703,0.5180469049576962,"(np.int64(0), np.int64(0))",Normal
0.04475112425539121,0.512177811049568,"(np.int64(0), np.int64(0))",Normal
0.031059255039325454,0.18578074829413355,"(np.int64(0), np.int64(1))",Warning
0.053191606644247526,0.6798150856976338,"(np.int64(1), np.int64(0))",Dangerous
0.028319615886352276,0.5976971976902692,"(np.int64(1), np.int64(1))",Dangerous
0.06284095084935223,0.5034830545199404,"(np.int64(0), np.int64(0))",Normal
0.030740198626257736,0.5345207133609738,"(np.int64(1), np.int64(1))",Dangerous
0.05030435199297907,0.5918889101461561,"(np.int64(1), np.int64(1))",Dangerous
0.04820940706196298,0.549151859646399,"(np.int64(1), np.int64(1))",Dangerous
0.01619951293928252,0.4545014900963237,"(np.int64(0), np.int64(0))",Normal
0.048287458594716184,0.6937861536309639,"(np.int64(1), np.int64(0))",Dangerous
0.0639631383194819,0.16876921433022907,"(np.int64(0), np.int64(1))",Warning
0.02091544710935813,0.5711876015026149,"(np.int64(1), np.int64(1))",Dangerous
0.048536237930139156,0.4830509485696139,"(np.int64(0), np.int64(0))",Normal
0.04664736393068494,0.633145337537677,"(np.int64(1), np.int64(1))",Dangerous
0.06427513569486581,0.6155393018437404,"(np.int64(1), np.int64(1))",Dangerous
0.017754541187644662,0.6120718934612839,"(np.int64(1), np.int64(1))",Dangerous
0.02138525691605723,0.6510675750296112,"(np.int64(1), np.int64(1))",Dangerous
0.049575088259960126,0.36910772938616965,"(np.int64(0), np.int64(1))",Warning
0.04062613802996795,0.5621691116218871,"(np.int64(1), np.int64(1))",Dangerous
0.0474862393846078,0.7730767665171726,"(np.int64(1), np.int64(0))",Dangerous
0.06178474022657016,0.7712163229074817,"(np.int64(1), np.int64(0))",Dangerous
0.036517619912786195,0.3134574513238314,"(np.int64(0), np.int64(1))",Warning
0.05075597381611595,0.6751717405410941,"(np.int64(1), np.int64(0))",Dangerous
0.03992571586489713,0.2599880458633869,"(np.int64(0), np.int64(1))",Warning
0.029505891035666157,0.2664669398646828,"(np.int64(0), np.int64(1))",Warning
0.07184483423632486,0.5056322249838997,"(np.int64(0), np.int64(0))",Normal
0.04667378433469434,0.31804814953516347,"(np.int64(0), np.int64(1))",Warning
0.03140000170438258,0.6005284792691146,"(np.int64(1), np.int64(1))",Dangerous
0.05746441284829983,0.6372194272041214,"(np.int64(1), np.int64(1))",Dangerous
0.026182044503854036,0.7847283427075054,"(np.int64(1), np.int64(0))",Dangerous
0.05443685669011124,0.35230469668876674,"(np.int64(0), np.int64(1))",Warning
0.06650909227061824,0.6733245958556258,"(np.int64(1), np.int64(0))",Dangerous
0.040642617287797236,0.6765089887995139,"(np.int64(1), np.int64(0))",Dangerous
0.0674171805454042,0.3180876829103024,"(np.int64(0), np.int64(1))",Warning
0.042682318064725625,0.08846273155190049,"(np.int64(0), np.int64(1))",Warning
0.05045269096625249,0.362090685430284,"(np.int64(0), np.int64(1))",Warning
0.06479494946373611,0.517674134938245,"(np.int64(0), np.int64(0))",Normal
0.03834371586656024,0.485729691153995,"(np.int64(0), np.int64(0))",Normal
0.034593859388704046,0.4202671100947697,"(np.int64(0), np.int64(1))",Warning
0.036015261405025034,0.3718860219817519,"(np.int64(0), np.int64(1))",Warning
0.030515558189286578,0.6006272202072281,"(np.int64(1), np.int64(1))",Dangerous
0.04177644117066577,0.4056995170932951,"(np.int64(0), np.int64(1))",Warning
0.04970487357030184,0.6588433217008486,"(np.int64(1), np.int64(0))",Dangerous
0.04497019280374063,0.539624317092876,"(np.int64(1), np.int64(1))",Dangerous
0.06959398118171904,0.5129081064288215,"(np.int64(0), np.int64(0))",Normal
0.03789661538867927,0.5957548217688104,"(np.int64(1), np.int64(1))",Dangerous
0.06765903840586228,0.5200691932647671,"(np.int64(0), np.int64(0))",Normal
0.05235158585171956,0.7875674624660266,"(np.int64(1), np.int64(0))",Dangerous
0.08639144270044902,0.7493311113142085,"(np.int64(1), np.int64(0))",Dangerous
0.05161955755695123,0.6535800873719516,"(np.int64(1), np.int64(1))",Dangerous
0.026988173424673044,0.4632483155330639,"(np.int64(0), np.int64(0))",Normal
0.026390867096685172,0.33597467745071047,"(np.int64(0), np.int64(1))",Warning
0.06145565324442075,0.7084722793608792,"(np.int64(1), np.int64(0))",Dangerous
0.029514198598014872,0.5916625275306144,"(np.int64(1), np.int64(1))",Dangerous
0.06183965052911301,0.6053263233703308,"(np.int64(1), np.int64(1))",Dangerous
0.04493197853404714,0.5441786897700357,"(np.int64(1), np.int64(1))",Dangerous
0.04110462543376476,0.6906870568514349,"(np.int64(1), np.int64(0))",Dangerous
