PC1,PC2
-0.23944690153784554,0.7780276342554852
0.017126685208057508,0.2504709767253344
-0.4999265163766331,1.1456279411079817
-0.30060091012304485,0.07622985351569096
-0.25239212606762657,-0.6417986683427394
-0.220130039399316,-0.5138165380712553
-0.18680256552752034,-0.3422292442160053
0.01223051962810375,-1.1451349828931165
-0.44614120537766744,1.5427768125870012
-0.19361625813169273,-0.9137462486895249
-0.12560812902521035,0.13905577174768868
-0.20101905349705762,1.6523722209085774
-0.04593272636615899,-1.3433412145981862
-0.29474544361698335,-0.6082702214964976
-0.5451491885915264,1.1140110115326332
-0.07176545593711584,-2.044479126436563
-0.07130343396048244,0.14059602953859382
-0.3191652357719516,-0.6949902057291778
0.08106560432141494,0.6020280901698488
-0.16664845676453824,0.016526708604675883
0.005835837197112852,-1.910985155990352
-0.2773782954254973,-0.6623688061919846
0.20011536411303232,-0.7373749680986149
0.14695255508925695,-0.7507354629653004
-0.25589456327088644,0.6162658215245715
-0.03722262210147046,0.9466922009213137
-0.1664339886368746,-0.4188536302816617
0.07318059787570917,2.190390260472541
-0.3532004680373449,-1.2196262118365286
-0.08877920610456001,1.7998318210175739
0.042436269360165486,0.5260570283234354
-0.5167699673212564,1.0198470088777045
-0.36857506540141227,0.16772238670633408
-0.6218682165421359,0.4143819842080539
-0.2627618342448091,-0.1861383411875674
-0.08691957030647492,0.40961041076806404
0.04531277816082178,1.7475946572224141
-0.22316529159987836,0.4762892012409571
0.056637875167734476,0.6349950173777595
-0.3889743034615608,-1.9548233616111164
-0.5071895073928896,-1.171071148843964
-0.3239891694826898,-0.25478790833819126
-0.038439725858188487,-0.3065199900588005
-0.13140674222155604,-1.191658787104188
-0.6270083474116239,0.03398382660094347
-0.16792764974140334,2.077771714054788
-0.45851755970902586,0.2604179494726422
-0.05901113820681452,-0.2608750773476109
-0.11576866419619455,0.361604491408672
-0.37346872327706704,-0.9060109484489139
-0.3492932570660437,-1.0806399450993907
-0.41729175183064904,-0.2355149406057266
-0.2707941993975658,-0.483809061096284
-0.11049800494736625,-2.0078146158198664
-0.3708027763187618,-0.19431924170781345
-0.19388258102155986,-2.166788740709113
-0.23316133777608958,-2.3556087593049773
-0.23080426386730377,2.7266321291700657
-0.27368579813669885,0.28031325932345197
-0.3597086601203538,-0.4652813692361339
-0.2785746839118588,-0.8374475051240138
-0.36998592532079644,-1.220379875242877
0.11567364319721354,1.329754869251247
-0.14723632249706411,2.2389695094676987
-0.28537363991528486,0.3201820331065541
-0.24115091630613855,1.3725300714340403
-0.15972445122500223,0.5960074592921359
-0.18086797724043985,-1.274667922925494
-0.167804118581237,-1.4037050480324234
-0.08119172100359864,-0.12528167654292557
-0.22786164968916306,0.5984998383761532
-0.31429456136192835,-0.40165130419825956
-0.19467647363078516,-0.8476853358065348
-0.42369801513340655,0.4405580771112132
-0.499599253690938,0.1958039839689573
-0.056966105813563504,-0.6773590448391339
0.1027219470982045,0.12556621575226384
-0.19705362210732735,-1.2809962984118308
-0.1271979664434252,0.8233030547889026
-0.05008812860763024,-1.6850620311267284
0.22340126975708344,1.487289365602737
0.02149064250748112,1.328665624122023
-0.2685546514423502,-0.6561729080772302
-0.22804736287662788,-1.4657178368663895
-0.36077117210450277,-1.4094606128456957
-0.2113813839442681,0.3032084669363973
-0.3570055075473916,-0.7912506508441635
-0.39046671387779663,-0.9520126602332539
-0.32544885546041785,2.1242637716347574
-0.36500035278497855,1.77086368153885
0.10313572299165527,0.5077970338593599
-0.1829943199218278,-1.9317056597409834
-0.19496944266675703,0.22983548474532992
-0.033569268691575324,-1.8971379667158412
-0.21673465647218793,0.8060025655679288
-0.25163467966359954,-0.4359581267237903
-0.05416017626601536,-0.6770547200865294
-0.10180519874134836,-0.025355534745713178
-0.42269981049694816,-0.835158561757903
-0.2663454225343532,-0.8257184813842692
-0.30840487176898773,-0.7882329148468282
-0.41341529157886553,-0.6015082874518394
9.939217522979847,0.28540214480929305
10.155862367644106,-0.01832521147104836
9.528523606186637,0.6361288017966232
9.823024567151144,0.06191426409352262
9.599629380026201,-0.20022984995271326
9.652657200627248,-0.5996740769257163
9.846187223167998,-0.24771714869163852
9.693584842239561,-0.6951599734733085
9.687534504541,0.30672240602180256
9.534030161415922,-1.3901534279188104
9.850194238888246,1.674599888908477
9.804107984556698,-0.44278386903898337
9.76167296768324,1.7120432635958223
9.640236254340623,0.14374171142722644
9.664471562875852,0.38271357164492265
9.912397322028252,0.43775409012097716
9.843187323130909,-1.5971325301626942
9.457616588291085,-0.1293792746133601
9.77531662419771,1.632058378010849
9.831015652382357,-2.8177394195368812
-0.48509034748814234,-0.4547284874759746
0.085169176259767,-2.068038136893499
-0.2783665560463748,-0.44078909279917394
-0.12716888926583053,1.866607539146393
-0.2608570951428343,-0.07311470532400217
-0.47451657368411304,-1.5163006271243862
-0.4664007479983785,-1.4080732103580944
-0.19052090446473327,0.3945199602038304
-0.010821158778612377,-0.8524743510847503
-0.40034267337209445,0.1340054945303632
-0.07967647347499894,0.995451704237286
-0.5241736694563822,2.5987042635285897
-0.18153432242524442,-0.23662970763194932
-0.4486413400257162,-0.6844305820776713
-0.34446549700143764,1.838886661115533
-0.20366136645385338,2.2932487332830505
-0.2937258825402419,0.1676299354562544
-0.19507112129381637,-0.11838896965910985
-0.0996381334131259,0.8596023648790223
-0.2555309277623691,1.9899272568842508
-0.11134548453837606,0.31133189994668364
-0.5003198481499005,-0.19181274438451734
